name,vote_count
hijas de la luna... y la familia cambiã³,229
the boat,1577
bob's burgers,863
la reina del sur,1834
foster's home for imaginary friends,441
money heist: korea - joint economic area,626
foundation,1101
devilman crybaby,541
terror in resonance,351
squid game,13484
the white princess,248
"scooby-doo, where are you!",671
making a murderer,436
pretty little liars: the perfectionists,464
i dream of jeannie,724
police squad!,322
hidden truths,276
our flag means death,205
platinum end,222
the heirs,563
ninjago: masters of spinjitzu,678
how heavy are the dumbbells you lift?,245
por ella soy eva,256
the tudors,651
veronica mars,571
merlin,880
maya and the three,290
orphan black,1174
captain tsubasa,753
the batman,405
beef,492
ducktales,251
star trek: voyager,841
unorthodox,574
nancy drew,261
sword art online alternative: gun gale online,235
cable girls,452
the loud house,490
the o.c.,748
the walking dead: origins,474
wild at heart,445
soul eater,258
genesis,222
p-valley,213
cold case,355
constantine,1435
insatiable,1574
senora acero,563
vikings: valhalla,744
land of honor,448
h2o: just add water,554
the wilds,435
saved by the bell,602
aaahh!!! real monsters,372
solar opposites,452
trinkets,250
amar a muerte,510
girls bravo,280
izombie,2702
er,755
the winchesters,232
bia,318
the flash,10857
the morning show,621
the night manager,925
poldark,257
bodyguard,788
psycho-pass,355
endless love,653
24,1416
whose line is it anyway?,299
blood of zeus,450
little fires everywhere,290
surviving escobar - alias jj,1021
el clon,527
forever,521
11.23.03,1373
los heroes del norte,419
sense8,1486
deception,213
"like, la leyenda",470
dc's stargirl,1074
little angel face,376
danganronpa: the animation,239
tiny toon adventures,470
lupin,2084
carnival row,1139
evil,525
the lost room,411
hercai,715
teenage bounty hunters,320
the pacific,2222
nuevo rico nuevo pobre,358
eureka,574
happy tree friends,554
louie,457
dinosaurs,932
medici: masters of florence,269
mischievous kiss,367
blue bloods,796
dare me,338
doã±a bã¡rbara,674
babylon berlin,289
billions,840
poker face,229
the house of flowers,867
extras,335
one tree hill,422
pokã©mon,1656
american dragon: jake long,458
alex rider,381
for all mankind,614
moon knight,2635
genius,245
jesus of nazareth,453
triumph of love,458
csi: miami,1517
lost girl,393
hawaii five-0,1608
v,869
baymax!,222
duncanville,264
skam spain,455
siren,3237
â¡vivan los niã±os!,200
"hensuki: are you willing to fall in love with a pervert, as long as she's a cutie?",516
dragonaut: the resonance,257
the dark crystal: age of resistance,348
code black,246
schitt's creek,448
dragons: the nine realms,254
sweet magnolias,220
the silent sea,560
captain tsubasa: road to 2002,246
life,211
macgyver,774
aã­da,220
unsolved mysteries,287
big mouth,996
roswell,418
dirk gently's holistic detective agency,705
trailer park boys,234
chuck,932
good witch,242
shaun the sheep,205
we bare bears,1740
grace and frankie,284
emily in paris,1209
life on mars,249
step by step,362
godless,497
the order,790
mi marido tiene familia,232
amor real,1082
sharp objects,752
happy days,248
100 dã­as para enamorarnos,1014
seven deadly sins,2283
wild wild country,200
recess,451
what life took from me,1231
drop dead diva,236
married... with children,939
the wheel of time,1991
john adams,265
ratched,1034
apocalipse,285
tom clancy's jack ryan,1371
soy tu dueã±a,534
2 good 2 be true,259
power,1160
the fall,767
"lady, la vendedora de rosas",1398
zerozerozero,370
animal kingdom,413
1000 ways to die,379
an idiot abroad,205
watchmen,1268
longmire,250
the young pope,498
dragon ball gt,1854
the innocent,343
firefly lane,228
manifest,1443
the tom and jerry show,1044
fall into temptation,229
altered carbon,1779
blue's clues,231
las tontas no van al cielo,328
silvana sin lana,249
ash vs evil dead,1480
star wars rebels,775
el chema,669
rocket power,292
fear the walking dead,4744
millennium,228
a terra prometida,434
my name is earl,915
masamune-kun's revenge,285
star wars: clone wars,359
resident evil: infinite darkness,784
operaciã³n pacã­fico,387
corazon valiente,325
alf,1040
murdoch mysteries,232
true love,664
down to earth with zac efron,293
the marked heart,246
orange is the new black,2324
el capo,1107
raising dion,405
enfermeras,232
dreamworks dragons,598
the falcon and the winter soldier,8200
impulse,258
marvel's ultimate spider-man,960
dead like me,399
fbi: most wanted,341
magnificent century: kã¶sem,352
sam & cat,350
frasier,705
doraemon,578
the return,281
warehouse 13,603
rubã­,370
teresa,1707
the lion guard,228
pinky and the brain,670
lockwood & co.,207
ahsoka,672
the lincoln lawyer,222
the gifted,1397
the suite life of zack & cody,613
apocalypse: world war i,260
the pillars of the earth,333
the inbetweeners,400
magnum p.i.,264
icarly,760
the book of boba fett,2387
queen of the south,408
shake it up,268
looney tunes cartoons,236
pasiã³n de gavilanes,1973
the l word,729
the goldbergs,308
sortilegio,370
californication,1026
toy boy,535
the good fight,257
the new scooby-doo movies,241
under the banner of heaven,264
sky of love: someone i love is there,258
saint seiya: saintia sho,272
berlin,366
the future diary,358
down with the beautiful,200
the haunting of bly manor,1065
the girl,217
mako: island of secrets,578
daughter from another mother,1215
don't f**k with cats: hunting an internet killer,470
the white lotus,684
the magicians,1541
dexter's laboratory,755
spongebob squarepants,2840
re:zero -starting life in another world-,357
ncis,2156
"dr. quinn, medicine woman",408
who killed sara?,1149
kidding,279
the blacklist,2987
welcome to earth,405
true blood,1740
13 reasons why,3973
robot chicken,455
undone,261
the fall of the house of usher,404
luna nera,217
beforeigners,222
the king of fighters: destiny,603
deadman wonderland,399
bolã­var,275
rugrats,653
the new adventures of winnie the pooh,223
sliders,402
csi: crime scene investigation,1138
the equalizer,247
servant,698
pablo escobar: the drug lord,3445
gotham,3253
misfits,801
home before dark,414
guillermo del toro's cabinet of curiosities,681
doom patrol,1277
sky rojo,474
ducktales,602
1899,1135
en nombre del amor,395
overcoming heartbreak,234
the leftovers,919
superman: the animated series,284
a pup named scooby-doo,261
woman,410
distilling love,283
patrick melrose,229
the spanish princess,428
marvel's avengers,605
teenage mutant ninja turtles,664
la mujer del diablo,224
the society,505
haven,426
private practice,301
la familia p. luche,1036
star trek: enterprise,730
the deuce,319
dr. horrible's sing-along blog,492
revenge,713
leverage,341
the orville,1050
sonic x,267
hell on wheels,395
black sails,1215
xena: warrior princess,1208
travelers,670
the night shift,216
the 10th kingdom,228
elementary,1529
the ren & stimpy show,423
shadowhunters,981
are you afraid of the dark?,228
years and years,248
da vinci's demons,597
darker than black,209
kung fu panda: the dragon knight,200
into the badlands,668
manhunt,398
superstore,575
the fosters,292
the adventures of super mario bros. 3,443
the cartel,552
raised by wolves,1427
wilfred,373
mission: impossible,254
second chance,435
cheers,533
marianne,450
the good wife,529
midnight mass,782
the fairly oddparents,912
the act,5028
lost in space,1507
and then there were none,554
sãºbete a mi moto,365
ncis: los angeles,1090
"murder, she wrote",338
cars on the road,226
goliath,349
rupaul's drag race,217
enemigo ã­ntimo,401
american crime story,912
midsomer murders,273
sin senos sã­ hay paraã­so,2741
the kominsky method,256
full house,978
i know this much is true,207
the oa,1090
super dragon ball heroes,2955
them,313
the new pope,212
the alienist,537
the devil is a part-timer!,231
law & order: criminal intent,319
marã­a de todos los ãngeles,603
legion,1298
cafã© con aroma de mujer,383
without breast there is no paradise,226
terminator: the sarah connor chronicles,820
the outpost,228
wolverine and the x-men,252
homeland,2057
the middle,599
i dare you to leave,205
world war ii in hd colour,257
kung fu,274
batman: the brave and the bold,233
the powerpuff girls,848
rectify,241
knight rider,1197
raising hope,243
chip 'n' dale rescue rangers,468
tiny pretty things,223
marvel's spider-man,345
marvel's agent carter,1711
the chestnut man,503
false identity,513
olive kitteridge,235
the serpent,238
rafael orozco - el idolo,200
bonanza,404
"midnight, texas",255
all for love,365
blue mountain state,371
master of none,455
kim possible,450
the man in the high castle,1163
airwolf,408
the boarding school: las cumbres,864
el chavo: the animated series,444
celebrity deathmatch,351
transformers: war for cybertron: siege,282
don't mess with an angel,446
la piloto,301
ergo proxy,288
the continental: from the world of john wick,379
princess agents,213
continuum,790
digimon adventure:,594
the borgias,415
barbie: life in the dreamhouse,381
yasuke,220
high score,217
la doble vida de estela carrillo,274
the ranch,203
the real ghostbusters,228
el chapo,1524
medium,492
marvel's jessica jones,2159
yellowjackets,631
selena: the series,1547
deceptions,399
dark angel,407
her mother's killer,204
the walking dead: world beyond,1083
doctor who,2825
sneaky pete,293
mozart in the jungle,205
rosario tijeras,1480
star trek: lower decks,277
timeless love,267
the golden girls,305
marvel's agents of s.h.i.e.l.d.,3336
without breasts there is no paradise,1099
rebelde,424
cruel summer,310
el juego de las llaves,1927
the strain,1712
humans,551
hanna,758
vampires,335
keeping up with the kardashians,863
night stalker: the hunt for a serial killer,277
felix the cat,254
killer women,278
3rd rock from the sun,441
conversations with a killer: the ted bundy tapes,307
ray donovan,707
who's the boss?,252
creepshow,263
primeval,286
miami vice,387
the a-team,926
alrawabi school for girls,509
fuller house,512
the big show show,308
preacher,1068
gilligan's island,221
heroes,2136
traveling with the derbez,1313
swamp thing,956
tehran,230
santa clarita diet,643
elite short stories: carla samuel,306
the sinner,974
taken,350
disenchantment,992
king david,303
knight rider,575
two and a half men,3002
awkward.,375
moonlighting,314
"maradona, blessed dream",640
scooby-doo and scrappy-doo,294
top cat,320
dragon ball z kai,741
imperio de mentiras,348
abyss of passion,249
weeds,798
gossip girl,278
to the lake,212
american vandal,266
the story of god with morgan freeman,364
witches of east end,222
burn notice,454
lol: last one laughing,278
the undoing,650
black knight,212
and just like thatâ€¦,467
rubi,841
sonic boom,340
la brea,1316
hellbound,813
oggy and the cockroaches,325
russian doll,731
beauty and the beast,257
marvel's runaways,841
the bureau of magical things,257
the trials of gabriel fernandez,402
legend of the seeker,274
beauty and the beast,397
death in paradise,230
spider-man unlimited,214
30 rock,627
rise of empires: ottoman,273
12 monkeys,1009
la femme nikita,228
"beverly hills, 90210",676
law & order,523
home improvement,567
jericho,442
the returned,240
saint seiya: knights of the zodiac,621
strike back,321
self made: inspired by the life of madam c.j. walker,282
sleepy hollow,938
the adventures of jimmy neutron: boy genius,752
sex and the city,1925
highlander: the series,354
the recruit,248
hollywood,269
veep,384
dug days,509
the mafia dolls,346
my wife and kids,421
snowpiercer,1136
modern love,304
the flash,454
the sex lives of college girls,261
hatfields & mccoys,296
istanbullu gelin,206
roots,211
rocko's modern life,271
the penguins of madagascar,324
spider-man and his amazing friends,226
percy jackson and the olympians,368
el dragã³n: return of a warrior,427
marvel studios legends,640
top gear,686
counterpart,303
almost human,468
behind her eyes,463
happy!,375
eastbound & down,267
amazing stories,383
devs,541
the five juanas,257
tru calling,226
the dropout,213
dan brown's the lost symbol,328
undertaker: the last ride,313
valeria,220
absentia,302
better than us,347
maniac,746
a series of unfortunate events,825
griselda,205
stargate universe,642
harry potter: hogwarts tournament of houses,278
the outsider,1342
ncis: new orleans,402
hart of dixie,260
blindspot,2339
workaholics,231
evil genius,203
griselda blanco: the black widow,330
barbarians,554
everything sucks!,218
the white queen,301
survivor,359
v wars,293
the flintstones,825
the lord of the rings: the rings of power,2404
night on earth,205
once upon a time,2073
the spy,211
mrs. fletcher,267
csi: ny,642
neymar: the perfect chaos,254
lilo & stitch: the series,526
deadly class,254
new girl,1296
the dukes of hazzard,301
the scent of passion,355
the bible,910
bitten,239
dawson's creek,483
lilyhammer,216
la doã±a,616
home for christmas,213
batman,502
without a trace,239
biohackers,327
the rain,1145
supergirl,4065
king of the hill,543
nos4a2,353
f is for family,337
marvel's spidey and his amazing friends,227
the irregulars,301
dc's legends of tomorrow,2209
